               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               4.756,              5.7971,              5.4117,           0.0039836,             0.05102,           0.0019081,          0.00047537,                   0,                   0,                   0,             0.07013,           0.0033188,           0.0033188
                   1,              4.7238,               5.589,               5.422,           0.0011867,             0.15816,          0.00070958,          0.00020223,                   0,                   0,                   0,            0.040065,           0.0065863,           0.0065863
                   2,              4.7286,              5.3981,              5.4398,           0.0018111,             0.18878,           0.0011729,          0.00040849,                   0,                   0,                   0,           0.0099327,           0.0097878,           0.0097878
                   3,               4.637,              5.2303,              5.3436,            0.014593,             0.02551,           0.0030456,           0.0008352,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              4.5634,              4.6937,              5.2121,            0.011937,            0.035714,            0.003761,           0.0010206,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              4.2198,              4.2436,               4.926,           0.0053532,             0.69898,            0.011521,           0.0029795,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              3.9343,              4.1102,              4.6377,            0.059929,            0.076531,            0.015504,           0.0037574,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              3.5877,              3.8259,              4.2399,            0.050626,             0.14796,            0.024997,           0.0076096,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,               3.503,              3.6835,              3.9724,            0.056849,            0.086735,            0.021445,            0.006552,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,               3.265,              3.4552,              3.7105,            0.056922,             0.21939,             0.03741,            0.012833,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,               3.154,              3.3467,              3.5964,             0.11803,             0.29975,             0.10564,            0.044572,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              3.0801,              3.2194,              3.4525,             0.28042,              0.2602,             0.19295,            0.075831,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              2.9599,              3.1301,              3.3199,             0.25874,              0.2449,             0.15703,            0.059683,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,               2.888,              2.9771,              3.2016,             0.30881,             0.29862,             0.24013,             0.10045,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              2.8438,              2.9752,               3.154,             0.24387,             0.36037,             0.19614,            0.070897,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              2.7993,              2.8276,              3.0344,             0.37873,             0.41327,             0.26915,             0.11934,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              2.7467,              2.8547,              3.0125,             0.42309,             0.28571,             0.30155,             0.12467,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              2.7017,              2.7012,              2.9551,              0.3686,             0.40805,             0.32267,             0.14428,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              2.6401,               2.639,              2.8966,              0.5413,             0.30612,             0.38008,             0.14429,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              2.5986,              2.6429,              2.8357,             0.54148,             0.40816,             0.46879,             0.18132,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
